label,night_avg,total_avg,gaming_ratio,social_ratio,weekend_ratio
Gece Kuşu,66.96,167.58,0.275,0.240,0.952
Gece Kuşu,69.52,150.81,0.304,0.227,1.168
Gece Kuşu,77.03,228.74,0.339,0.217,1.198
Gece Kuşu,76.75,189.20,0.161,0.184,0.955
Gece Kuşu,67.93,172.96,0.239,0.104,0.957
Gece Kuşu,67.48,169.19,0.257,0.281,1.181
Gece Kuşu,60.72,183.57,0.285,0.235,0.870
Gece Kuşu,71.94,149.73,0.240,0.172,0.932
Gece Kuşu,51.25,201.88,0.200,0.183,1.072
Gece Kuşu,72.82,205.44,0.179,0.153,1.102
Gece Kuşu,64.25,175.82,0.215,0.198,1.028
Gece Kuşu,58.29,163.13,0.164,0.110,0.914
Gece Kuşu,60.48,223.54,0.187,0.296,0.928
Gece Kuşu,63.03,210.08,0.185,0.308,0.954
Gece Kuşu,63.51,162.41,0.205,0.300,1.047
Gece Kuşu,63.56,133.36,0.192,0.274,0.966
Gece Kuşu,67.30,134.33,0.202,0.188,1.100
Gece Kuşu,60.87,202.21,0.226,0.227,1.110
Gece Kuşu,50.70,161.45,0.225,0.161,0.915
Gece Kuşu,57.56,173.36,0.316,0.304,0.899
Gece Kuşu,57.09,191.72,0.219,0.235,1.032
Gece Kuşu,67.55,203.08,0.192,0.357,1.187
Gece Kuşu,59.46,201.66,0.171,0.220,1.123
Gece Kuşu,69.42,115.10,0.194,0.296,0.833
Gece Kuşu,73.89,190.11,0.265,0.167,1.107
Gece Kuşu,67.98,168.37,0.113,0.266,1.176
Gece Kuşu,63.00,190.52,0.074,0.288,0.995
Gece Kuşu,63.10,152.42,0.308,0.197,1.021
Gece Kuşu,68.97,176.85,0.172,0.293,0.903
Gece Kuşu,67.74,234.88,0.223,0.192,1.010
Gece Kuşu,51.19,179.68,0.312,0.168,1.053
Gece Kuşu,61.99,261.94,0.304,0.303,1.175
Gece Kuşu,64.53,150.08,0.257,0.271,0.949
Gece Kuşu,60.39,182.00,0.110,0.276,1.015
Gece Kuşu,63.54,144.01,0.228,0.178,0.995
Gece Kuşu,66.60,164.65,0.193,0.189,1.030
Gece Kuşu,64.49,185.39,0.175,0.169,0.926
Gece Kuşu,59.12,198.05,0.354,0.218,1.168
Gece Kuşu,73.47,131.50,0.208,0.353,0.905
Gece Kuşu,68.84,155.00,0.278,0.278,1.138
Gece Kuşu,77.03,198.57,0.188,0.251,1.186
Gece Kuşu,70.04,128.59,0.208,0.221,0.782
Gece Kuşu,71.93,176.12,0.187,0.302,0.806
Gece Kuşu,46.69,191.92,0.195,0.315,1.042
Gece Kuşu,57.83,191.86,0.216,0.256,1.113
Gece Kuşu,68.82,167.88,0.164,0.268,0.981
Gece Kuşu,64.21,223.00,0.175,0.202,1.058
Gece Kuşu,68.10,211.04,0.290,0.243,1.195
Gece Kuşu,72.38,130.70,0.209,0.331,1.114
Gece Kuşu,65.56,162.43,0.232,0.206,1.083
Gece Kuşu,66.82,140.70,0.238,0.342,1.022
Gece Kuşu,87.12,159.31,0.259,0.221,1.158
Gece Kuşu,77.16,179.71,0.117,0.222,1.186
Gece Kuşu,68.24,176.37,0.252,0.278,1.048
Gece Kuşu,61.87,231.29,0.143,0.334,1.039
Gece Kuşu,62.29,183.11,0.150,0.332,1.106
Gece Kuşu,74.34,171.20,0.215,0.159,1.060
Gece Kuşu,64.40,208.40,0.245,0.085,1.064
Gece Kuşu,76.77,134.30,0.067,0.255,0.997
Gece Kuşu,64.83,182.53,0.212,0.242,0.873
Gece Kuşu,66.29,215.60,0.252,0.360,1.213
Gece Kuşu,52.23,209.68,0.269,0.256,1.115
Gece Kuşu,67.51,137.51,0.146,0.371,1.020
Gece Kuşu,77.48,198.70,0.087,0.330,0.993
Gece Kuşu,54.62,193.63,0.300,0.170,0.993
Gece Kuşu,56.59,163.94,0.225,0.191,1.046
Gece Kuşu,67.32,157.72,0.275,0.246,0.868
Gece Kuşu,67.27,195.46,0.266,0.368,1.278
Gece Kuşu,67.91,173.96,0.226,0.153,0.986
Gece Kuşu,83.97,195.29,0.246,0.325,1.257
Gece Kuşu,62.50,152.50,0.186,0.300,0.962
Gece Kuşu,74.94,167.24,0.166,0.204,0.936
Gece Kuşu,74.11,212.93,0.229,0.239,1.047
Gece Kuşu,61.81,266.07,0.176,0.208,1.159
Gece Kuşu,71.23,184.26,0.239,0.147,0.986
Gece Kuşu,72.56,162.48,0.169,0.270,0.984
Gece Kuşu,72.00,200.12,0.259,0.155,1.057
Gece Kuşu,64.52,195.66,0.090,0.178,1.101
Gece Kuşu,65.77,185.02,0.341,0.328,1.098
Gece Kuşu,64.14,167.36,0.190,0.224,1.025
Gece Kuşu,74.64,188.46,0.180,0.197,1.077
Gece Kuşu,66.36,188.67,0.143,0.296,1.191
Gece Kuşu,67.01,167.83,0.230,0.352,1.030
Gece Kuşu,66.89,193.45,0.187,0.194,1.160
Gece Kuşu,52.70,190.25,0.232,0.240,1.099
Gece Kuşu,63.66,194.91,0.218,0.219,0.993
